Klasor Adi;Ders Adi;Kurum
ac1a95cad3953f77c609d60bb2e27dad897e8306-1703175231831;YTE Konu: ;Kurum Girilecek
f4392abc9cfaa63efbf046cc7ada57a75ba790d4-1690389943348;Eski Edebiyat Genel Tekrar 4;Kurum Girilecek
3a52e6a22c4cc0996779ec293523022d5d0c7388-1704025282043;Coğrafya konu: ;Kurum Girilecek
cb3c1c7d0d1e610293c4faba2b025f66ec430232-1704815439097;Tarih Konu: ;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1739029865635;KONUŞMA YÖNTEMLERİ;Kurum Girilecek
fe534ba2be486200b29eba3998f61d35ede4b765-1740585250591;şair yazar ve eserler;Kurum Girilecek
9483f9b4c8f357f74b159e62b0bb261e025c62ff-1701359670488;Ses bilgisi uygulama;Kurum Girilecek
04791834209cc4fdad5500ab2deebdf0d89c3a04-1731692723877;YKS Tarih 2. Ders (İNSANLIĞIN İLK DÖNEMLERİ SORU ÇÖZÜMÜ);Kurum Girilecek
9679e220735e8e03c9edd254e9189d96ef752cde-1703785008837;Eski Dil Konu: ;Kurum Girilecek
2b34ff093a4fe562ccbd4d1dec9defa11fabe2e9-1773765736538;YAZMA TÜR, YÖNTEM VE TEKNİKLERİ - 1;Kurum Girilecek
059f2ad29732c04932217af6f0290782094cecca-1751911979674;DİL BİLGİSİ (VEDA);Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1736005450218;DİNLEME TÜRLERİ;Kurum Girilecek
2d8b2f630dd78dabc7ce0859c6acf0dd2be6a934-1709387953426;AYT Kimya Konu: ;Kurum Girilecek
31428f79dc23045a5b7f841d72fb9ed20be8ea2f-1712256339080;NİSAN AYI REHBERLİK;Kurum Girilecek
d39446f272688d5e772f0ac8214efd6620555449-1702144461561;kuramlar yöntemler;Kurum Girilecek
1f19d9a8120d0421ae26bded9d65a73e5007aeb0-1700756067604;YTE Konu: modernizm-postmodernizm;Kurum Girilecek
80b76a73d9fdf418aed6e143de1468fe9615c84a-1772642287343;MİLLİ EDEBİYAT-5;Kurum Girilecek
dc12c9d877c70209ea7d0274e884c99ee397001f-1762277346394;ŞEKİL/YAPI/BİÇİM BİLGİSİ (Kök)-1;Kurum Girilecek
63f2e14f54fa66ec3aceda1ecb023cfc40028865-1770742120229;SES BİLİMİ (FONOLOJİ) - 1;Kurum Girilecek
15a2ee8b633f754e598185dfa9a9fcf803a820c1-1720840587165;6. DENEME (DÖRT TEMEL BECERİ ÇÖZÜM);Kurum Girilecek
58fee96126fbde0c4f5e3c147df457ad979a56d4-1703091281072;söz sanatları;Kurum Girilecek
2b34ff093a4fe562ccbd4d1dec9defa11fabe2e9-1772556751476;SÖZ VARLIĞI ÇALIŞMALARI - 2;Kurum Girilecek
885cd183396123664aae15258f36ab40589223ad-1741893817345;1739 SAYILI KANUN 2. DERS;Kurum Girilecek
6debbf1ac3f8c0ba6c516f4699204a07a3c8bd65-1714758314411;Rus edebiyatına devam;Kurum Girilecek
3c7024b07e4b24094eea0bf1245fb65bafb078a4-1750348844408;2025 TYT Coğrafya ;Kurum Girilecek
f5dd9af017c6a181f7e926703801fd4c6f76235b-1721289230925;2024 Türkçe Alan Eğitimi Soru Çözümü;Kurum Girilecek
d5a49c3ab0991a06073f0f2931a2fc49ad269629-1775146693556;Klasik Türk Edebiyatı Tarihi-12;Kurum Girilecek
294d90f5494b1b87450b133f462442cf7b1151bd-1687099516700;Başar Hoca Gelişim Psikolojisi;Kurum Girilecek
bb0d2047d8b4bacea58a69e568d6788b732f0dc5-1677775867717;Eski Türk Dili 42 Harezm Türkçesi;Kurum Girilecek
299cbd7fac79e094a9bc3b87c31b8813983b41dd-1730825234358;YENİ TÜRK EDEBİYATININ OLUŞUMU-2;Kurum Girilecek
4e115b4f2f6895ce8fc92bc882a966a33afede39-1777571096644;Beyit Şerhi-12;Kurum Girilecek
569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722353008564;halk genel tekrar;Kurum Girilecek
0fdb8a6d832aecef72c81a57718ee48183ece398-1721147190566;2024 Alan Eğitimi Soru Çözümü 1;Kurum Girilecek
2a3118bee8adb487c610585b9ef9cfb19b60625b-1700236337054;dil bilim 4;Kurum Girilecek
a7bb88795d338b5aaf53e13882b28f159d978cf6-1738430234358;KONUŞMA BOZUKLUKLARI;Kurum Girilecek
